id_venda;id_pedido;id_produto;id_cliente;id_loja;data_pedido;quantidade;preco_unitario;valor_desconto;custo_frete;status_pedido;metodo_pagamento;nota_fiscal;nome_produto;categoria_produto;subcategoria_produto;preco_custo;preco_venda;peso_kg;fornecedor_id;nome_fornecedor;data_cadastro_produto;em_estoque;nome_cliente;email_cliente;telefone_cliente;data_cadastro_cliente;segmento_cliente;cidade_cliente;estado_cliente;nome_loja;endereco_loja;cidade_loja;estado_loja;regiao_loja;gerente_loja;data_inauguracao;tipo_loja
11;1;2;48;10;12/11/2023;7.0;145.3;244.1;34.25;Concluído;Dinheiro;NF-86429;Produto 2;Móveis;Sofás;425.09;145.26;44.51;7;Fornecedor 15;02/04/2022;True;Cliente 48;cliente48@email.com;(11) 96919-1853;20/02/2022;Premium;São Paulo;RJ;Loja 10;Endereço da Loja 10;Rio de Janeiro;RJ;Nordeste;Gerente 10;28/07/2016;Rua
12;2;62;42;6;18/04/2023;5.0;255.55;319.44;13.75;Concluído;Pix;NF-49734;Produto 62;Livros;Técnicos;430.9;257.75;7.0;13;Fornecedor 2;28/09/2023;True;Cliente 42;cliente42@email.com;(11) 95752-9311;15/11/2022;Corporativo;Belo Horizonte;RS;Loja 6;Endereço da Loja 6;Belo Horizonte;MG;Sudeste;Gerente 6;17/12/2017;Shopping
13;2;55;9;1;06/05/2023;6.0;93.93;112.72;17.6;Cancelado;Pix;NF-39375;Produto 55;Móveis;Camas;96.25;90.06;27.76;6;Fornecedor 13;04/09/2022;True;Cliente 9;cliente9@email.com;(11) 95249-2679;27/03/2022;Varejo;São Paulo;PE;Loja 1;Endereço da Loja 1;Rio de Janeiro;RJ;Sul;Gerente 1;28/05/2018;Shopping
14;1;69;26;7;07/09/2023;6.0;27.72;1.66;21.86;Concluído;Boleto;NF-19823;Produto 69;Eletrônicos;TVs;91.79;26.99;42.84;5;Fornecedor 13;31/05/2023;True;Cliente 26;cliente26@email.com;(11) 99527-6878;15/09/2022;Varejo;São Paulo;RS;Loja 7;Endereço da Loja 7;Porto Alegre;RS;Sudeste;Gerente 7;14/06/2017;Rua
15;2;32;33;3;26/11/2023;2.0;357.93;136.01;20.14;Concluído;Cartão de Crédito;NF-25305;Produto 32;Roupas;Jaquetas;289.86;394.29;1.26;2;Fornecedor 3;09/09/2023;True;Cliente 33;cliente33@email.com;(11) 91825-8668;24/04/2022;Varejo;Recife;MG;Loja 3;Endereço da Loja 3;Belo Horizonte;MG;Sudeste;Gerente 3;17/02/2016;Centro Comercial
16;2;36;37;8;06/04/2023;8.0;593.06;806.56;15.74;Concluído;Pix;NF-78450;Produto 36;Eletrônicos;Áudio;483.95;552.49;5.25;1;Fornecedor 1;03/03/2022;True;Cliente 37;cliente37@email.com;(11) 91728-2365;06/07/2022;Varejo;Belo Horizonte;SP;Loja 8;Endereço da Loja 8;Belo Horizonte;MG;Sudeste;Gerente 8;24/06/2019;Centro Comercial
17;3;12;28;4;10/03/2023;3.0;368.76;188.07;14.57;Em processamento;Dinheiro;NF-37192;Produto 12;Livros;Ficção;424.34;361.36;5.76;5;Fornecedor 10;05/07/2022;True;Cliente 28;cliente28@email.com;(11) 95729-8330;03/08/2022;Corporativo;Recife;MG;Loja 4;Endereço da Loja 4;Belo Horizonte;MG;Sul;Gerente 4;20/01/2017;Centro Comercial
18;2;76;38;8;05/01/2023;5.0;821.88;698.6;43.84;Em processamento;Cartão de Crédito;NF-67854;Produto 76;Eletrônicos;Notebooks;419.3;868.2;45.39;13;Fornecedor 4;11/03/2022;True;Cliente 38;cliente38@email.com;(11) 92810-7588;30/12/2022;Premium;Belo Horizonte;RJ;Loja 8;Endereço da Loja 8;Rio de Janeiro;RJ;Sudeste;Gerente 8;25/02/2020;Rua
19;1;19;20;9;10/07/2023;1.0;434.43;69.51;24.64;Em processamento;Cartão de Crédito;NF-32700;Produto 19;Roupas;Calçados;10.62;473.97;2.25;5;Fornecedor 6;01/08/2022;False;Cliente 20;cliente20@email.com;(11) 96348-7190;21/08/2022;Varejo;São Paulo;SP;Loja 9;Endereço da Loja 9;São Paulo;SP;Nordeste;Gerente 9;28/10/2018;Shopping
20;4;54;16;8;31/03/2023;8.0;930.99;1340.63;8.5;Cancelado;Dinheiro;NF-57605;Produto 54;Roupas;Camisetas;458.05;959.12;1.71;9;Fornecedor 1;25/12/2023;True;Cliente 16;cliente16@email.com;(11) 91924-2581;04/02/2022;Corporativo;Recife;RJ;Loja 8;Endereço da Loja 8;Porto Alegre;RS;Sudeste;Gerente 8;13/09/2015;Rua
21;3;69;45;7;26/06/2023;5.0;921.71;553.03;42.31;Concluído;Cartão de Crédito;NF-28017;Produto 69;Eletrônicos;Notebooks;45.96;877.89;1.94;15;Fornecedor 1;09/02/2023;True;Cliente 45;cliente45@email.com;(11) 93000-6989;16/09/2022;Varejo;Recife;PE;Loja 7;Endereço da Loja 7;São Paulo;SP;Sul;Gerente 7;14/12/2016;Shopping
22;4;74;1;4;08/02/2023;2.0;211.98;105.99;18.85;Em processamento;Dinheiro;NF-34285;Produto 74;Roupas;Camisetas;124.34;212.99;39.61;1;Fornecedor 15;30/10/2022;True;Cliente 1;cliente1@email.com;(11) 92252-7996;07/03/2022;Premium;Belo Horizonte;MG;Loja 4;Endereço da Loja 4;São Paulo;SP;Sudeste;Gerente 4;20/11/2020;Rua
23;3;38;30;3;30/01/2023;7.0;596.82;877.33;40.84;Concluído;Cartão de Crédito;NF-97369;Produto 38;Alimentos;Carnes;178.54;594.02;38.47;4;Fornecedor 8;10/03/2022;False;Cliente 30;cliente30@email.com;(11) 96569-5300;06/05/2022;Premium;Belo Horizonte;MG;Loja 3;Endereço da Loja 3;Rio de Janeiro;RJ;Sudeste;Gerente 3;21/03/2020;Rua
24;5;23;3;2;05/01/2023;2.0;336.61;33.66;8.99;Concluído;Cartão de Crédito;NF-26907;Produto 23;Roupas;Jaquetas;95.03;352.21;10.4;2;Fornecedor 1;19/03/2022;True;Cliente 3;cliente3@email.com;(11) 98240-7937;06/09/2022;Premium;São Paulo;MG;Loja 2;Endereço da Loja 2;Recife;PE;Sul;Gerente 2;17/02/2015;Centro Comercial
25;5;61;35;4;03/06/2023;8.0;86.8;145.82;43.0;Concluído;Dinheiro;NF-98869;Produto 61;Eletrônicos;Notebooks;434.81;93.67;26.68;15;Fornecedor 9;23/09/2023;True;Cliente 35;cliente35@email.com;(11) 99905-2062;30/09/2022;Varejo;Rio de Janeiro;RS;Loja 4;Endereço da Loja 4;Rio de Janeiro;RJ;Nordeste;Gerente 4;20/06/2016;Rua
26;1;17;41;2;24/08/2023;3.0;352.78;105.83;45.48;Concluído;Pix;NF-85703;Produto 17;Livros;Biografias;239.62;361.55;24.96;6;Fornecedor 5;12/01/2023;True;Cliente 41;cliente41@email.com;(11) 92733-2605;22/04/2022;Varejo;Porto Alegre;MG;Loja 2;Endereço da Loja 2;Porto Alegre;RS;Nordeste;Gerente 2;19/06/2019;Rua
27;1;24;36;6;04/04/2023;8.0;;869.7;37.33;Concluído;Boleto;NF-56514;Produto 24;Eletrônicos;Tablets;264.63;416.29;41.95;5;Fornecedor 6;14/02/2023;True;Cliente 36;cliente36@email.com;(11) 99915-1224;20/01/2022;Premium;São Paulo;RS;Loja 6;Endereço da Loja 6;Rio de Janeiro;RJ;Nordeste;Gerente 6;12/07/2016;Centro Comercial
28;5;1;13;3;18/05/2023;2.0;;431.78;16.46;Concluído;Cartão de Crédito;NF-89767;Produto 1;Móveis;Camas;255.52;932.69;30.34;3;Fornecedor 14;05/04/2022;False;Cliente 13;cliente13@email.com;(11) 91235-2908;17/05/2022;Premium;Rio de Janeiro;RS;Loja 3;Endereço da Loja 3;São Paulo;SP;Sul;Gerente 3;20/04/2019;Rua
29;2;1;14;3;03/03/2023;4.0;768.0;552.96;35.73;Concluído;Dinheiro;NF-49711;Produto 1;Alimentos;Cereais;74.19;797.31;23.19;6;Fornecedor 1;23/01/2022;True;Cliente 14;cliente14@email.com;(11) 93712-3192;13/08/2022;Corporativo;Rio de Janeiro;PE;Loja 3;Endereço da Loja 3;Recife;PE;Sudeste;Gerente 3;21/11/2020;Shopping
30;5;51;15;1;07/02/2023;9.0;328.7;207.08;38.48;Concluído;Boleto;NF-69201;Produto 51;Roupas;Vestidos;315.72;341.56;38.15;11;Fornecedor 10;28/04/2022;False;Cliente 15;cliente15@email.com;(11) 98326-7371;31/12/2022;Premium;Porto Alegre;PE;Loja 1;Endereço da Loja 1;Porto Alegre;RS;Sul;Gerente 1;25/09/2020;Centro Comercial
31;2;68;36;5;29/10/2023;8.0;645.5;929.52;5.81;Em processamento;Dinheiro;NF-49915;Produto 68;Alimentos;Cereais;361.42;644.74;28.3;4;Fornecedor 5;07/05/2022;True;Cliente 36;cliente36@email.com;(11) 99795-7024;20/02/2022;Corporativo;Recife;SP;Loja 5;Endereço da Loja 5;Porto Alegre;RS;Nordeste;Gerente 5;01/12/2018;Rua
32;5;1;23;1;17/05/2023;4.0;205.65;148.07;10.14;Concluído;Boleto;NF-83509;Produto 1;Livros;Autoajuda;86.93;194.46;17.38;2;Fornecedor 11;22/02/2023;False;Cliente 23;cliente23@email.com;(11) 97783-5971;08/09/2022;Varejo;Belo Horizonte;SP;Loja 1;Endereço da Loja 1;Belo Horizonte;MG;Nordeste;Gerente 1;13/06/2020;Shopping
33;1;52;22;2;26/06/2023;4.0;574.79;68.97;49.86;Concluído;Cartão de Crédito;NF-11759;Produto 52;Livros;Ficção;184.38;584.78;3.45;7;Fornecedor 3;24/12/2023;True;Cliente 22;cliente22@email.com;(11) 93717-5524;13/10/2022;Corporativo;Belo Horizonte;RJ;Loja 2;Endereço da Loja 2;Recife;PE;Sudeste;Gerente 2;07/02/2017;Centro Comercial
34;3;78;50;6;15/10/2023;3.0;459.22;165.32;6.14;Concluído;Boleto;NF-95382;Produto 78;Roupas;Calças;264.57;446.36;32.98;1;Fornecedor 9;19/03/2023;True;Cliente 50;cliente50@email.com;(11) 99519-8221;06/09/2022;Corporativo;Recife;MG;Loja 6;Endereço da Loja 6;Belo Horizonte;MG;Nordeste;Gerente 6;11/07/2018;Shopping
35;6;34;21;7;31/05/2023;5.0;855.49;213.87;31.24;Concluído;Boleto;NF-52880;Produto 34;Roupas;Vestidos;481.51;944.97;40.89;4;Fornecedor 11;21/01/2023;True;Cliente 21;cliente21@email.com;(11) 95491-2555;18/09/2022;Corporativo;Recife;SP;Loja 7;Endereço da Loja 7;Rio de Janeiro;RJ;Nordeste;Gerente 7;12/12/2017;Rua
36;1;44;17;8;25/04/2023;1.0;745.78;119.32;33.51;Concluído;Boleto;NF-27685;Produto 44;Roupas;Jaquetas;487.4;781.96;41.76;4;Fornecedor 10;18/03/2023;False;Cliente 17;cliente17@email.com;(11) 99996-1074;22/11/2022;Corporativo;Rio de Janeiro;PE;Loja 8;Endereço da Loja 8;Belo Horizonte;MG;Sul;Gerente 8;20/09/2020;Centro Comercial
37;6;100;12;5;07/08/2023;8.0;622.26;945.84;27.24;Concluído;Cartão de Crédito;NF-45737;Produto 100;Eletrônicos;Notebooks;279.32;654.91;20.28;14;Fornecedor 10;12/07/2023;True;Cliente 12;cliente12@email.com;(11) 94067-6941;29/12/2022;Premium;São Paulo;MG;Loja 5;Endereço da Loja 5;Rio de Janeiro;RJ;Sul;Gerente 5;23/11/2016;Shopping
38;6;36;11;7;10/03/2023;8.0;790.89;63.27;16.8;Concluído;Pix;NF-22112;Produto 36;Roupas;Calças;38.78;838.71;24.87;13;Fornecedor 11;27/04/2023;True;Cliente 11;cliente11@email.com;(11) 98617-2524;14/03/2022;Varejo;São Paulo;SP;Loja 7;Endereço da Loja 7;Belo Horizonte;MG;Sul;Gerente 7;23/07/2019;Rua
39;7;89;35;2;12/01/2023;3.0;447.83;322.44;48.29;Concluído;Cartão de Crédito;NF-67134;Produto 89;Livros;Infantis;301.15;465.08;4.43;8;Fornecedor 3;23/10/2023;True;Cliente 35;cliente35@email.com;(11) 96604-3421;17/07/2022;Premium;São Paulo;RJ;Loja 2;Endereço da Loja 2;Recife;PE;Nordeste;Gerente 2;17/01/2018;Rua
40;2;12;32;7;27/09/2023;5.0;704.33;211.3;10.19;Concluído;Cartão de Crédito;NF-16737;Produto 12;Roupas;Calças;30.54;673.22;37.28;4;Fornecedor 7;06/02/2023;True;Cliente 32;cliente32@email.com;(11) 91614-6392;14/01/2022;Corporativo;Belo Horizonte;RS;Loja 7;Endereço da Loja 7;São Paulo;SP;Nordeste;Gerente 7;26/01/2018;Rua
41;2;3;44;8;10/06/2023;2.0;658.32;342.33;5.96;Em processamento;Cartão de Crédito;NF-58543;Produto 3;Livros;Infantis;173.24;727.52;46.64;11;Fornecedor 7;29/01/2022;True;Cliente 44;cliente44@email.com;(11) 99436-1271;24/08/2022;Premium;São Paulo;RJ;Loja 8;Endereço da Loja 8;São Paulo;SP;Sudeste;Gerente 8;09/07/2017;Rua
42;1;84;14;2;14/03/2023;1.0;116.78;4.67;48.04;Concluído;Cartão de Crédito;NF-47573;Produto 84;Livros;Ficção;123.19;119.37;49.12;15;Fornecedor 14;10/12/2022;True;Cliente 14;cliente14@email.com;(11) 92868-8878;21/02/2022;Corporativo;Porto Alegre;MG;Loja 2;Endereço da Loja 2;Porto Alegre;RS;Sul;Gerente 2;27/05/2019;Rua
43;6;20;43;9;05/01/2023;5.0;132.49;39.75;28.32;Concluído;Cartão de Crédito;NF-36172;Produto 20;Livros;Autoajuda;416.17;129.14;13.09;3;Fornecedor 2;03/03/2022;False;Cliente 43;cliente43@email.com;(11) 99194-8906;26/09/2022;Corporativo;Recife;SP;Loja 9;Endereço da Loja 9;Rio de Janeiro;RJ;Sudeste;Gerente 9;02/08/2016;Shopping
44;1;14;28;9;09/02/2023;9.0;401.3;108.35;23.38;Concluído;Dinheiro;NF-31754;Produto 14;Livros;Técnicos;231.43;397.26;36.2;10;Fornecedor 2;30/03/2023;False;Cliente 28;cliente28@email.com;(11) 94020-9987;22/03/2022;Varejo;Rio de Janeiro;PE;Loja 9;Endereço da Loja 9;Belo Horizonte;MG;Sudeste;Gerente 9;14/11/2015;Rua
45;1;93;40;1;26/09/2023;9.0;722.73;195.14;36.45;Concluído;Cartão de Crédito;NF-58874;Produto 93;Roupas;Calças;287.8;665.49;48.07;9;Fornecedor 3;31/01/2022;False;Cliente 40;cliente40@email.com;(11) 98561-3719;29/12/2022;Premium;Recife;RJ;Loja 1;Endereço da Loja 1;Belo Horizonte;MG;Sudeste;Gerente 1;11/08/2016;Centro Comercial
46;8;93;49;1;15/03/2023;9.0;678.24;610.42;33.47;Em processamento;Cartão de Crédito;NF-92197;Produto 93;Alimentos;Carnes;147.08;620.76;46.87;4;Fornecedor 2;20/11/2022;True;Cliente 49;cliente49@email.com;(11) 92040-9073;12/07/2022;Varejo;Rio de Janeiro;MG;Loja 1;Endereço da Loja 1;Rio de Janeiro;RJ;Sudeste;Gerente 1;04/12/2016;Centro Comercial
47;9;47;12;1;14/08/2023;4.0;136.74;76.57;12.36;Concluído;Cartão de Crédito;NF-27482;Produto 47;Livros;Biografias;376.08;138.79;11.12;2;Fornecedor 15;25/03/2022;True;Cliente 12;cliente12@email.com;(11) 96658-4778;03/12/2022;Premium;Porto Alegre;RS;Loja 1;Endereço da Loja 1;Belo Horizonte;MG;Nordeste;Gerente 1;15/09/2017;Rua
48;3;21;5;1;16/11/2023;1.0;785.62;86.42;43.9;Concluído;Dinheiro;NF-31563;Produto 21;Livros;Infantis;482.44;762.49;9.36;1;Fornecedor 13;05/11/2022;True;Cliente 5;cliente5@email.com;(11) 92050-4633;18/07/2022;Premium;Belo Horizonte;PE;Loja 1;Endereço da Loja 1;Rio de Janeiro;RJ;Sul;Gerente 1;17/08/2017;Centro Comercial
49;9;44;15;7;15/11/2023;6.0;196.77;94.45;40.89;Concluído;Cartão de Crédito;NF-70112;Produto 44;Livros;Biografias;483.92;193.6;0.68;2;Fornecedor 14;16/11/2022;True;Cliente 15;cliente15@email.com;(11) 99357-7154;28/10/2022;Varejo;São Paulo;SP;Loja 7;Endereço da Loja 7;São Paulo;SP;Sul;Gerente 7;05/08/2020;Shopping
50;2;41;46;6;19/12/2023;2.0;251.33;130.69;8.71;Em processamento;Boleto;NF-60069;Produto 41;Roupas;Vestidos;56.94;249.62;16.17;6;Fornecedor 7;31/03/2022;True;Cliente 46;cliente46@email.com;(11) 94041-1105;01/11/2022;Premium;Belo Horizonte;PE;Loja 6;Endereço da Loja 6;Porto Alegre;RS;Sudeste;Gerente 6;09/06/2020;Rua
51;4;6;50;4;10/11/2023;6.0;540.67;616.36;28.69;Concluído;Pix;NF-25313;Produto 6;Eletrônicos;Smartphones;30.73;545.88;3.11;7;Fornecedor 12;21/06/2023;False;Cliente 50;cliente50@email.com;(11) 94638-9941;22/12/2022;Corporativo;Recife;PE;Loja 4;Endereço da Loja 4;Belo Horizonte;MG;Nordeste;Gerente 4;25/11/2016;Centro Comercial
52;10;32;22;8;31/08/2023;3.0;681.66;265.85;14.16;Em processamento;Cartão de Crédito;NF-82541;Produto 32;Roupas;Jaquetas;279.9;722.01;48.04;10;Fornecedor 13;24/01/2022;True;Cliente 22;cliente22@email.com;(11) 94453-7675;01/06/2022;Varejo;Rio de Janeiro;SP;Loja 8;Endereço da Loja 8;São Paulo;SP;Nordeste;Gerente 8;30/08/2016;Centro Comercial
53;3;36;15;4;25/08/2023;2.0;626.18;275.52;10.92;Concluído;Dinheiro;NF-88301;Produto 36;Móveis;Camas;200.78;610.13;9.07;12;Fornecedor 14;30/11/2022;True;Cliente 15;cliente15@email.com;(11) 95648-3365;12/11/2022;Corporativo;Recife;SP;Loja 4;Endereço da Loja 4;Rio de Janeiro;RJ;Nordeste;Gerente 4;10/05/2015;Centro Comercial
54;10;70;35;5;14/07/2023;6.0;378.31;363.18;20.17;Em processamento;Cartão de Crédito;NF-16276;Produto 70;Eletrônicos;Tablets;159.51;405.06;12.51;11;Fornecedor 12;28/05/2023;True;Cliente 35;cliente35@email.com;(11) 98029-7099;11/10/2022;Varejo;São Paulo;MG;Loja 5;Endereço da Loja 5;São Paulo;SP;Sudeste;Gerente 5;10/05/2020;Centro Comercial
55;11;47;44;6;30/11/2023;2.0;781.96;109.47;7.33;Concluído;Pix;NF-96213;Produto 47;Livros;Biografias;239.94;845.73;9.08;11;Fornecedor 5;10/06/2022;True;Cliente 44;cliente44@email.com;(11) 92229-5585;03/10/2022;Premium;Recife;RJ;Loja 6;Endereço da Loja 6;Porto Alegre;RS;Nordeste;Gerente 6;24/05/2018;Shopping
56;12;43;31;2;28/10/2023;4.0;904.82;217.16;35.3;Cancelado;Cartão de Crédito;NF-33196;Produto 43;Móveis;Sofás;321.36;869.24;22.24;5;Fornecedor 15;27/03/2022;True;Cliente 31;cliente31@email.com;(11) 96238-7089;24/04/2022;Premium;Rio de Janeiro;SP;Loja 2;Endereço da Loja 2;Porto Alegre;RS;Sul;Gerente 2;30/10/2015;Centro Comercial
57;2;76;19;5;11/07/2023;6.0;655.02;1021.83;49.7;Concluído;Cartão de Crédito;NF-95150;Produto 76;Roupas;Camisetas;346.32;679.75;36.95;4;Fornecedor 2;16/01/2023;True;Cliente 19;cliente19@email.com;(11) 92667-5114;23/03/2022;Premium;Recife;SP;Loja 5;Endereço da Loja 5;Recife;PE;Sudeste;Gerente 5;30/04/2017;Rua
58;1;75;7;5;18/10/2023;6.0;579.8;626.18;35.07;Concluído;Boleto;NF-87576;Produto 75;Eletrônicos;Smartphones;167.55;633.91;19.05;10;Fornecedor 8;26/03/2023;True;Cliente 7;cliente7@email.com;(11) 92177-5760;12/01/2022;Premium;Recife;RJ;Loja 5;Endereço da Loja 5;Belo Horizonte;MG;Sudeste;Gerente 5;31/10/2015;Shopping
59;13;37;6;2;17/04/2023;7.0;828.1;115.93;47.96;Concluído;Pix;NF-55379;Produto 37;Alimentos;Congelados;305.91;767.23;46.73;6;Fornecedor 3;30/11/2022;True;Cliente 6;cliente6@email.com;(11) 98151-9564;21/02/2022;Corporativo;Belo Horizonte;PE;Loja 2;Endereço da Loja 2;Porto Alegre;RS;Nordeste;Gerente 2;25/03/2018;Centro Comercial
60;7;35;13;9;08/06/2023;7.0;389.29;654.01;13.34;Em processamento;Dinheiro;NF-22149;Produto 35;Móveis;Armários;360.23;405.91;40.32;1;Fornecedor 12;11/01/2023;True;Cliente 13;cliente13@email.com;(11) 97284-8285;04/10/2022;Corporativo;Porto Alegre;SP;Loja 9;Endereço da Loja 9;Belo Horizonte;MG;Nordeste;Gerente 9;04/06/2016;Centro Comercial
61;4;15;24;10;01/03/2023;7.0;937.22;196.82;33.07;Concluído;Boleto;NF-74174;Produto 15;Móveis;Mesas;183.58;906.83;11.84;12;Fornecedor 2;04/11/2023;True;Cliente 24;cliente24@email.com;(11) 99853-3852;23/05/2022;Varejo;Belo Horizonte;RS;Loja 10;Endereço da Loja 10;Belo Horizonte;MG;Sudeste;Gerente 10;27/03/2019;Rua
62;13;10;2;7;16/06/2023;9.0;521.11;1407.0;10.78;Concluído;Boleto;NF-43893;Produto 10;Eletrônicos;Áudio;299.27;501.8;28.96;7;Fornecedor 13;05/02/2022;True;Cliente 2;cliente2@email.com;(11) 98843-1072;16/05/2022;Premium;São Paulo;MG;Loja 7;Endereço da Loja 7;Recife;PE;Sul;Gerente 7;29/12/2017;Centro Comercial
63;10;41;5;5;16/09/2023;6.0;79.55;143.19;34.78;Concluído;Boleto;NF-19686;Produto 41;Alimentos;Cereais;261.93;76.94;23.31;8;Fornecedor 6;18/03/2023;False;Cliente 5;cliente5@email.com;(11) 94374-1207;16/04/2022;Premium;São Paulo;RS;Loja 5;Endereço da Loja 5;Rio de Janeiro;RJ;Nordeste;Gerente 5;18/10/2016;Rua
64;4;16;23;8;19/08/2023;1.0;397.13;59.57;12.17;Concluído;Dinheiro;NF-15782;Produto 16;Alimentos;Congelados;240.07;388.7;13.23;2;Fornecedor 9;07/12/2022;True;Cliente 23;cliente23@email.com;(11) 93496-6962;19/11/2022;Premium;Porto Alegre;RJ;Loja 8;Endereço da Loja 8;Recife;PE;Sudeste;Gerente 8;07/11/2015;Shopping
65;8;6;42;1;07/06/2023;6.0;529.95;190.78;41.84;Concluído;Pix;NF-16721;Produto 6;Roupas;Vestidos;289.42;570.91;7.77;3;Fornecedor 2;25/07/2022;False;Cliente 42;cliente42@email.com;(11) 96656-9984;10/09/2022;Premium;São Paulo;RS;Loja 1;Endereço da Loja 1;Rio de Janeiro;RJ;Sul;Gerente 1;05/04/2015;Rua
66;4;14;6;5;22/06/2023;4.0;941.74;113.01;33.84;Concluído;Boleto;NF-70545;Produto 14;Eletrônicos;Áudio;162.18;953.27;32.55;3;Fornecedor 15;01/06/2023;True;Cliente 6;cliente6@email.com;(11) 97488-5737;24/09/2022;Varejo;Rio de Janeiro;PE;Loja 5;Endereço da Loja 5;Rio de Janeiro;RJ;Sudeste;Gerente 5;04/05/2020;Rua
